inv_date,invoice_number,account,part_number,qty,sell_price,total_sale_value,disc,cost_price,total_cost_value,profit
4/1/2010,INV7811696,ELEMERA,P522817,1,1232.1405,1232.1405,36,1059.64083,1059.64083,172.49967
7/1/2010,INV7811682,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
2/25/2010,INV7811426,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
2/25/2010,INV7811426,ELEMERA,P857011,1,63.0648,63.0648,36,54.235728,54.235728,8.829072
3/29/2010,INV7811269,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
3/29/2010,INV7811269,ELEMERA,P609260,12,12.5685,150.822,36,10.80891,129.70692,21.11508
3/29/2010,INV7811269,ELEMERA,P470213,2,66.7755,133.551,36,57.42693,114.85386,18.69714
3/18/2010,INV7811321,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
4/29/2010,INV7811105,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
4/29/2010,INV7811105,ELEMERA,P759015,1,216.3492,216.3492,36,186.060312,186.060312,30.288888
9/15/2010,INV7810247,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
9/15/2010,INV7810247,ELEMERA,P253930,1,254.6703,254.6703,36,219.016458,219.016458,35.653842
5/7/2011,INV7808461,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
7/18/2011,INV7808383,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
8/31/2011,INV7808065,ELEMERA,P522817,4,788.5665,3154.266,36,678.16719,2712.66876,441.59724
8/31/2011,INV7808065,ELEMERA,P875372,2,50.5134,101.0268,36,43.441524,86.883048,14.143752
8/31/2011,INV7808065,ELEMERA,P253930,1,254.6703,254.6703,36,219.016458,219.016458,35.653842
8/31/2011,INV7808065,ELEMERA,P390237,2,132.9012,265.8024,36,114.295032,228.590064,37.212336
4/11/2011,INV7807677,ELEMERA,P522817,1,788.5665,788.5665,36,678.16719,678.16719,110.39931
4/11/2011,INV7807677,ELEMERA,P847740,2,28.6767,57.3534,36,24.661962,49.323924,8.029476
6/27/2012,INV7806200,ELEMERA,P522817,1,827.9991,827.9991,36,712.079226,712.079226,115.919874
6/27/2012,INV7806200,ELEMERA,P687247,1,442.206,442.206,36,380.29716,380.29716,61.90884
6/27/2012,INV7806200,ELEMERA,P956668,18,7.5411,135.7398,36,6.485346,116.736228,19.003572
6/27/2012,INV7806200,ELEMERA,P188454,6,33.4134,200.4804,36,28.735524,172.413144,28.067256
6/27/2012,INV7806200,ELEMERA,P241997,1,1121.5719,1121.5719,36,964.551834,964.551834,157.020066
6/27/2012,INV7806200,ELEMERA,P991727,4,38.8341,155.3364,36,33.397326,133.589304,21.747096
9/7/2012,INV7806134,ELEMERA,P522817,3,827.9991,2483.9973,36,712.079226,2136.237678,347.759622
4/1/2010,INV7811695,ELEMERA,P125523,1,2091.7404,2091.7404,36,1798.896744,1798.896744,292.843656
7/1/2010,INV7811683,ELEMERA,P125523,1,1338.7077,1338.7077,36,1151.288622,1151.288622,187.419078
9/17/2010,INV7810231,ELEMERA,P125523,1,1338.7077,1338.7077,36,1151.288622,1151.288622,187.419078
10/12/2010,INV7809707,ELEMERA,P125523,1,1338.7077,1338.7077,36,1151.288622,1151.288622,187.419078
1/28/2011,INV7809519,ELEMERA,P125523,1,1338.7077,1338.7077,36,1151.288622,1151.288622,187.419078
2/14/2011,INV7809403,ELEMERA,P125523,1,1338.7077,1338.7077,36,1151.288622,1151.288622,187.419078
6/14/2011,INV7808627,ELEMERA,P125523,1,1338.7077,1338.7077,36,1151.288622,1151.288622,187.419078
1/6/2012,INV7806373,ELEMERA,P125523,1,689.6088,689.6088,36,593.063568,593.063568,96.545232
1/6/2012,INV7806373,ELEMERA,P990654,4,26.9838,107.9352,36,23.206068,92.824272,15.110928
1/6/2012,INV7806373,ELEMERA,P593499,8,9.1314,73.0512,36,7.853004,62.824032,10.227168
1/6/2012,INV7806373,ELEMERA,P188454,4,33.4134,133.6536,36,28.735524,114.942096,18.711504
1/6/2012,INV7806373,ELEMERA,P329575,4,41.2281,164.9124,36,35.456166,141.824664,23.087736
7/6/2012,INV7806340,ELEMERA,P125523,1,689.6088,689.6088,36,593.063568,593.063568,96.545232
7/6/2012,INV7806340,ELEMERA,P201688,2,4.1895,8.379,36,3.60297,7.20594,1.17306
7/6/2012,INV7806340,ELEMERA,P329485,1,621.1233,621.1233,36,534.166038,534.166038,86.957262
7/6/2012,INV7806340,ELEMERA,P201580,2,3.1977,6.3954,36,2.750022,5.500044,0.895356
